geo_scope,charge_level,pricing,venue,sessions,evse_count,median_total_hours,mean_total_hours,median_charge_hours,median_energy_kwh,mean_energy_kwh,median_kw
Other US,L2,Free,Single Family Residential,2899921,57119,9.065138888888889,10.770444735413061,2.001736111111111,9.271275,14.381074759699429,5.250970575380572
Other Midwest,L2,Free,Single Family Residential,931490,16430,9.443194444444444,10.437272837531554,2.053541666666667,9.8377,14.323873500427384,5.8717871736040665
Other US,DCFC,Paid,Corridor,803228,7945,0.5527777777777778,0.6900675568369341,0.5330555555555555,16.247999,20.887845742273527,33.8598067039527
Other US,L2,Free,Multi-Unit Dwelling,648724,6548,8.59236111111111,10.855703249642465,3.091388888888889,15.381,20.294953464427003,5.833796518874006
Other US,DCFC,Free,Undesignated,601788,10079,1.062361111111111,3.015221693102635,0.9747222222222223,30.7145005,47.620987938602354,31.30566411370519
Other US,L2,Paid,Multi-Unit Dwelling,576137,8543,4.329444444444444,8.12688617944246,3.0854166666666663,15.4779975,21.112815239198994,5.898620623227023
Other US,L2,Free,Business Office,486621,8230,4.3775,7.567185894929966,2.5297222222222224,11.1791495,15.872137211575017,5.432282911917115
Other US,DCFC,Paid,Undesignated,408902,4223,0.5729166666666667,0.8267563349382686,0.5508333333333333,16.977999500000003,20.53904358034978,32.000290944131784
Other US,L2,Undesignated,Municipal Building,362519,3813,2.606111111111111,5.27927336572385,2.007083333333333,8.48675,12.885113902258707,5.594277615051437
Other US,L2,Undesignated,Business Office,356521,6412,3.4091666666666667,5.226731925096902,2.3380555555555556,10.6257725,14.902267891834189,5.648578391551584
Other US,L2,Undesignated,Medical or Educational Campus,339330,4123,3.5855555555555556,5.5081118067318195,2.233611111111111,8.667,12.797153187990581,4.624649401166956
Other US,DCFC,Free,Corridor,267708,2682,0.6893055555555556,1.2353243231510154,0.6586805555555556,21.333750000000002,25.405316082470595,31.075354474083362
Other US,L2,Paid,Business Office,239057,4217,3.3584722222222223,5.091902659877934,2.30875,9.541236,12.43445737082503,4.194800138264777
Other US,L2,Undesignated,Multi-use Parking Garage/Lot,225761,2609,3.1379166666666665,9.920362140601553,2.214166666666667,9.402,15.645438834971152,5.464280801091821
Other US,L2,Free,Medical or Educational Campus,208417,2076,3.6866666666666665,4.987752675528607,2.245833333333333,9.333274,13.037258462616572,4.547890137139612
Other US,L2,Free,Multi-use Parking Garage/Lot,188196,2325,4.230555555555555,12.660989732667762,2.2644444444444445,10.609702500000001,16.04496473449946,5.503851149811352
,,,,186119,3166,4.6241666666666665,6.91654016188749,1.9388333333333336,15.525,20.398265034731285,6.078513327120224
Other US,L2,Free,Retail,181909,3536,1.6814583333333335,4.938464501855744,1.4584722222222224,6.19058875,10.792130021620274,5.26172704260936
Other US,L2,Free,Fleet,143330,3141,10.184166666666666,25.98570232814152,2.6766666666666667,10.787395,17.19327741657381,4.659546053319393
Other US,L2,Undesignated,Leisure Destination,137200,1648,1.7768055555555555,3.711933107420296,1.5741666666666667,7.4005,11.913225935834161,5.757659390963974
Other US,L2,Free,Leisure Destination,135295,1113,2.4679166666666665,4.632327970076271,1.882916666666667,8.194101,13.05549253254714,5.586171976088904
Other US,L2,Undesignated,Retail,122502,1386,1.6373611111111113,3.092473502526791,1.495625,7.06875,10.637494202649318,5.472884572232586
Other Midwest,L2,Free,Business Office,120460,2721,4.218194444444444,6.06534455731224,2.5236805555555555,10.84631075,16.611474427852155,5.462715993914564
Other Midwest,DCFC,Paid,Corridor,119402,2147,0.5461111111111111,0.7139160614223675,0.5272222222222223,19.289,23.64646564200687,39.944680851063836
Other US,L2,Paid,Municipal Building,118792,1500,2.1922222222222225,3.717211623870951,1.8619444444444444,7.801889999999999,13.076969264062562,5.630497451655439
Other US,L2,Free,Municipal Building,104807,1170,2.9019444444444447,7.001648023682682,2.1566666666666667,9.278889,14.760977240672021,5.529767170626351
Other US,L2,Undesignated,Multi-Unit Dwelling,98699,2229,6.276944444444444,10.068087043361311,2.733888888888889,12.961067,19.493229725236908,5.661345359268245
Other US,DCFC,Undesignated,Corridor,92701,554,0.5479166666666668,0.7173812328965746,0.5375000000000001,17.2195,20.753920883029497,33.783
Other US,L2,Paid,Medical or Educational Campus,92617,1430,2.852291666666667,3.910393311621392,2.080208333333333,8.451834,12.729429848323553,5.469050164936452
Other US,L2,Paid,Multi-use Parking Garage/Lot,86172,1347,2.83,7.892188248405421,2.109583333333333,9.470295,14.116791122962093,5.601073062959368
Other US,L2,Paid,Retail,82017,1266,1.2468055555555555,2.3739225085300895,1.1584722222222221,5.483052,8.924728128950951,5.773565344722392
Other Midwest,L2,Free,Multi-use Parking Garage/Lot,81444,1085,4.627361111111112,9.329698872774177,2.5228472222222225,11.2787405,15.550586922629348,5.512835003434571
Other Midwest,L2,Paid,Retail,77590,1143,0.8519444444444444,2.0813882991886947,0.8,4.07809675,7.672837723490061,5.916080247118938
Other Midwest,L2,Free,Medical or Educational Campus,66995,520,3.7968055555555558,5.414708104050308,2.4020833333333336,10.2411495,15.041415651531176,4.835155780688508
Other US,L2,Free,Hotel,64896,781,3.1752777777777776,5.717883154955363,2.254166666666667,10.644321,16.844729264642332,5.702760331491712
Other Midwest,L2,Paid,Business Office,63337,1783,3.324027777777778,4.334223626532216,2.3702083333333333,10.64984025,15.12807368641866,5.5517697693675245
Other Midwest,L2,Free,Retail,60745,945,0.8833333333333333,3.484117692176196,0.830138888888889,3.962815,8.43593546639103,5.409055289945804
Other US,L2,Undesignated,Fleet,56031,973,4.761805555555556,31.77961061549833,2.273888888888889,8.3075,12.823754669807313,4.363039912520503
Other Midwest,DCFC,Free,Undesignated,55392,1384,0.8720833333333333,2.269979915887112,0.7902777777777777,24.799999,36.95193790668255,30.190381620350266
Other Midwest,L2,Paid,Multi-Unit Dwelling,54324,880,3.9450000000000003,7.970437151699353,2.417638888888889,10.772038,18.000267568240375,6.0136865960526436
Other US,L2,Free,Transit Facility,49461,658,4.5119444444444445,10.891675168802019,2.6463888888888887,10.405000000000001,15.731462499317738,4.922873414582563
