geo_scope,charge_level,start_hour,is_weekend,sessions,median_duration
Other Midwest,DCFC,5,False,1313,0.5944444444444444
Other Midwest,DCFC,5,True,363,0.6845833333333333
Other Midwest,DCFC,6,False,2860,0.5652777777777778
Other Midwest,DCFC,6,True,834,0.7140277777777777
Other Midwest,DCFC,7,False,5377,0.6083333333333334
Other Midwest,DCFC,7,True,1649,0.665
Other Midwest,DCFC,8,False,7255,0.6227777777777778
Other Midwest,DCFC,8,True,2757,0.6555555555555556
Other Midwest,DCFC,9,False,8164,0.6754166666666667
Other Midwest,DCFC,9,True,3812,0.6307638888888889
Other Midwest,DCFC,10,False,9182,0.6270138888888889
Other Midwest,DCFC,10,True,4794,0.6160416666666666
Other Midwest,DCFC,11,False,10559,0.6077083333333333
Other Midwest,DCFC,11,True,5760,0.6160416666666666
Other Midwest,DCFC,12,False,12278,0.61625
Other Midwest,DCFC,12,True,6051,0.6165277777777778
Other Midwest,DCFC,13,False,12185,0.6059027777777778
Other Midwest,DCFC,13,True,6220,0.5884722222222223
Other Midwest,DCFC,14,False,12829,0.5934722222222222
Other Midwest,DCFC,14,True,6236,0.6021527777777778
Other Midwest,DCFC,15,False,13185,0.5825694444444445
Other Midwest,DCFC,15,True,6159,0.5727777777777778
Other Midwest,DCFC,16,False,13448,0.5851388888888889
Other Midwest,DCFC,16,True,5901,0.5721527777777778
Other Midwest,DCFC,17,False,13111,0.5561805555555556
Other Midwest,DCFC,17,True,5321,0.5485416666666667
Other Midwest,DCFC,18,False,10949,0.590625
Other Midwest,DCFC,18,True,4387,0.5686805555555556
Other Midwest,DCFC,19,False,9047,0.6047222222222223
Other Midwest,DCFC,19,True,3679,0.5695833333333333
Other Midwest,DCFC,20,False,7327,0.5804166666666667
Other Midwest,DCFC,20,True,3013,0.5669444444444445
Other Midwest,DCFC,21,False,5484,0.5815972222222223
Other Midwest,DCFC,21,True,2381,0.5826388888888889
Other Midwest,DCFC,22,False,3791,0.6114583333333333
Other Midwest,DCFC,22,True,1647,0.5388888888888889
Other Midwest,DCFC,23,False,2551,0.6384027777777779
Other Midwest,DCFC,23,True,1104,0.586111111111111
Other Midwest,L2,0,False,15963,6.942777777777778
Other Midwest,L2,0,True,9345,9.1525
Other Midwest,L2,1,False,6775,5.082222222222223
Other Midwest,L2,1,True,3944,8.609305555555554
Other Midwest,L2,2,False,4134,4.001388888888889
Other Midwest,L2,2,True,2296,5.2
Other Midwest,L2,3,False,3878,4.295277777777778
Other Midwest,L2,3,True,1340,7.0784722222222225
Other Midwest,L2,4,False,4540,3.4458333333333333
Other Midwest,L2,4,True,1227,5.7411111111111115
Other Midwest,L2,5,False,14562,4.382638888888889
Other Midwest,L2,5,True,2947,5.6241666666666665
Other Midwest,L2,6,False,38871,5.168055555555555
Other Midwest,L2,6,True,4540,3.948888888888889
Other Midwest,L2,7,False,83190,4.68125
Other Midwest,L2,7,True,7982,2.9663194444444443
Other Midwest,L2,8,False,100864,4.344166666666666
Other Midwest,L2,8,True,12929,2.493333333333333
Other Midwest,L2,9,False,62916,3.615833333333333
Other Midwest,L2,9,True,17897,2.3354166666666663
Other Midwest,L2,10,False,48791,2.874027777777778
Other Midwest,L2,10,True,22258,2.169722222222222
Other Midwest,L2,11,False,57705,2.8088888888888888
Other Midwest,L2,11,True,26116,2.5080555555555555
Other Midwest,L2,12,False,72850,2.9879166666666666
Other Midwest,L2,12,True,28734,2.5375
Other Midwest,L2,13,False,67052,2.816388888888889
Other Midwest,L2,13,True,28324,2.5675000000000003
Other Midwest,L2,14,False,60820,2.58
Other Midwest,L2,14,True,28078,2.5102777777777776
Other Midwest,L2,15,False,67621,2.8330555555555557
Other Midwest,L2,15,True,28021,2.949583333333333
Other Midwest,L2,16,False,73344,3.718611111111111
Other Midwest,L2,16,True,28719,3.637777777777778
Other Midwest,L2,17,False,86724,6.047083333333333
Other Midwest,L2,17,True,30076,4.022222222222222
Other Midwest,L2,18,False,73008,11.53472222222222
Other Midwest,L2,18,True,28675,11.712777777777776
Other Midwest,L2,19,False,112410,12.263055555555557
Other Midwest,L2,19,True,31742,12.001388888888888
Other Midwest,L2,20,False,64713,11.294722222222225
Other Midwest,L2,20,True,23844,11.465555555555556
Other Midwest,L2,21,False,52344,10.542222222222222
Other Midwest,L2,21,True,19641,10.996666666666666
Other Midwest,L2,22,False,33767,9.793333333333335
Other Midwest,L2,22,True,14060,10.65347222222222
Other Midwest,L2,23,False,122937,8.001388888888888
Other Midwest,L2,23,True,11847,8.836666666666666
Other US,DCFC,0,False,22659,0.8027777777777778
Other US,DCFC,0,True,10393,0.7291666666666666
Other US,DCFC,1,False,16913,0.8486111111111111
Other US,DCFC,1,True,7522,0.775
Other US,DCFC,2,False,14943,0.8608333333333333
Other US,DCFC,2,True,6142,0.8472222222222222
Other US,DCFC,3,False,13164,0.8513888888888889
Other US,DCFC,3,True,5394,0.8515277777777778
Other US,DCFC,4,False,18121,0.7331944444444445
Other US,DCFC,4,True,5481,0.8794444444444445
Other US,DCFC,5,False,24234,0.6818055555555556
Other US,DCFC,5,True,6533,0.7
Other US,DCFC,6,False,38493,0.6708333333333333
Other US,DCFC,6,True,10420,0.7369444444444444
Other US,DCFC,7,False,57245,0.6743055555555555
Other US,DCFC,7,True,16153,0.7
Other US,DCFC,8,False,80105,0.7211111111111111
Other US,DCFC,8,True,24232,0.6766666666666666
Other US,DCFC,9,False,88584,0.7483333333333333
Other US,DCFC,9,True,31640,0.685
Other US,DCFC,10,False,93808,0.7088888888888889
Other US,DCFC,10,True,37757,0.65875
Other US,DCFC,11,False,101953,0.6925
Other US,DCFC,11,True,41454,0.6433333333333333
Other US,DCFC,12,False,110814,0.6702777777777778
Other US,DCFC,12,True,44132,0.6380555555555556
Other US,DCFC,13,False,109674,0.6543055555555556
Other US,DCFC,13,True,44509,0.6244444444444445
Other US,DCFC,14,False,109787,0.6491666666666667
Other US,DCFC,14,True,44380,0.6056944444444444
Other US,DCFC,15,False,108037,0.6106944444444444
Other US,DCFC,15,True,42918,0.5911111111111111
Other US,DCFC,16,False,110068,0.6058333333333333
Other US,DCFC,16,True,42224,0.5900000000000001
Other US,DCFC,17,False,106050,0.5833333333333334
Other US,DCFC,17,True,37817,0.5822222222222222
Other US,DCFC,18,False,95479,0.6205555555555555
Other US,DCFC,18,True,33723,0.5852777777777778
Other US,DCFC,19,False,80304,0.635
Other US,DCFC,19,True,29241,0.5969444444444445
Other US,DCFC,20,False,67488,0.6375
Other US,DCFC,20,True,25481,0.5891666666666666
Other US,DCFC,21,False,59572,0.6944444444444444
Other US,DCFC,21,True,21968,0.6361111111111111
Other US,DCFC,22,False,41654,0.6475
Other US,DCFC,22,True,16184,0.6191666666666666
Other US,DCFC,23,False,30670,0.7218055555555556
Other US,DCFC,23,True,12053,0.6455555555555555
Other US,L2,0,False,60121,7.213055555555556
Other US,L2,0,True,34555,8.987083333333333
Other US,L2,1,False,29693,6.130694444444444
Other US,L2,1,True,18186,8.237222222222222
Other US,L2,2,False,20218,5.249722222222222
Other US,L2,2,True,11670,7.5475
Other US,L2,3,False,18539,4.466388888888889
Other US,L2,3,True,8639,7.308888888888889
Other US,L2,4,False,27472,6.017638888888889
Other US,L2,4,True,8054,6.385555555555555
Other US,L2,5,False,71718,5.401666666666666
Other US,L2,5,True,13441,5.262222222222222
Other US,L2,6,False,189061,5.324166666666667
Other US,L2,6,True,27619,4.539027777777777
Other US,L2,7,False,393806,4.883055555555556
Other US,L2,7,True,46014,3.0572222222222223
Other US,L2,8,False,508177,4.3654166666666665
Other US,L2,8,True,69726,2.7275
Other US,L2,9,False,363552,3.6380555555555554
Other US,L2,9,True,90040,2.421527777777778
Other US,L2,10,False,283537,2.935277777777778
Other US,L2,10,True,110337,2.4224999999999994
Other US,L2,11,False,302918,2.805416666666667
Other US,L2,11,True,125556,2.4891666666666667
Other US,L2,12,False,369032,2.881666666666667
Other US,L2,12,True,136861,2.5615277777777776
