is_corridor,charge_level,region,sessions,energy_kwh,duration_hours,charge_duration,median_start_soc,mean_energy,median_actual_kw,median_duration
False,DCFC,East North Central,76957,2486534.698468,150876.3488888889,74832.01027777778,409.0,32.310702060475336,33.22822264480051,1.9605279427328104
False,DCFC,East South Central,9996,456083.436042,23018.795833333334,9729.349722222221,480.0,45.62659424189676,46.87707288394489,2.3028007036147793
False,DCFC,Middle Atlantic,99737,6897455.639323,357253.37638888886,223363.43916666668,525.5,69.15643782470899,30.87996703962074,3.5819543037076396
False,DCFC,Mountain,174135,5437802.43251,217252.14666666667,163157.4347222222,651.0,31.2275098774514,33.3285604898602,1.2476075841540568
False,DCFC,New England,27597,655487.23906,39371.46805555555,22527.52361111111,448.0,23.75211939921006,29.09717243561996,1.4266575372524388
False,DCFC,Pacific,556029,19486578.49109,1252519.5227777779,665810.8866666667,470.0,35.04597510397839,29.26743746808966,2.2526154621031957
False,DCFC,South Atlantic,132626,4022619.06922,281250.1772222222,143750.5061111111,490.5,30.33054656869694,27.98333848028848,2.1206262514305054
False,DCFC,West North Central,31495,875243.6348,49540.86194444445,26608.85138888889,441.0,27.789923314811876,32.89295062038932,1.572975454657706
False,DCFC,West South Central,33813,883273.841051,59300.594722222224,28747.855277777777,410.0,26.122315116996422,30.72486042928478,1.7537809340260322
False,L2,East North Central,1251915,18660880.86414,13700714.485833334,3698107.223888889,0.0,14.90586890015696,5.04606268406583,10.943805678367408
False,L2,East South Central,332318,5007732.21987,3079525.8691666666,943130.3402777778,0.0,15.069097129466355,5.30969263314664,9.266804293377628
False,L2,Middle Atlantic,1739991,26059115.74529,12902032.133611111,5136308.507222222,0.0,14.976580766963737,5.0735106173330475,7.4149993497731375
False,L2,Mountain,1382127,19303692.520942,9156632.886388889,3872637.8005555556,0.0,13.966656118389988,4.984636703740473,6.625030034424397
False,L2,New England,1422040,20385234.847254,13265858.346111111,4112210.4175,0.0,14.335204950109702,4.957245076881818,9.328751895946043
False,L2,Pacific,1129489,15955692.712872,10533086.681944445,3178736.637222222,0.0,14.126470211637299,5.019507601238421,9.32553276919425
False,L2,South Atlantic,1536725,24043943.24604409,14829338.706666667,4600728.362777778,0.0,15.646223785026006,5.226116681995782,9.6499625545668
False,L2,West North Central,574709,7031673.455134,4350367.188055555,1397028.5180555556,0.0,12.235189383033848,5.033307025772806,7.569686899031606
False,L2,West South Central,699689,12907129.636301715,7729223.576388889,2789026.5444444446,0.0,18.44695234068524,4.62782602840832,11.04665583764914
True,DCFC,East North Central,102914,2490331.702936,89116.37916666667,73366.52166666667,454.5,24.19818200571351,33.943706834713645,0.865930574719345
True,DCFC,East South Central,8868,246272.747111,11608.832222222223,7278.5525,413.0,27.770945772553,33.835401628414445,1.3090699393574903
True,DCFC,Middle Atlantic,35846,865499.176016,45884.388611111106,28546.57361111111,489.5,24.14493042504045,30.31884624076649,1.280042085898318
True,DCFC,Mountain,207580,4592666.236788,155690.48194444444,139698.43527777778,503.0,22.124801217785915,32.87557392934213,0.7500264088276541
True,DCFC,New England,65805,1754462.819288,69321.84888888888,48605.32277777778,507.0,26.661542729093533,36.09610468609285,1.0534434904473655
True,DCFC,Pacific,646321,13819949.572974,538074.4855555556,449876.21305555553,404.0,21.382485750848264,30.71944942167317,0.8325189581578745
True,DCFC,South Atlantic,143199,3392911.046299,121735.19499999999,100265.91944444444,347.0,23.693678351797146,33.83912564806182,0.8501120468718356
True,DCFC,West North Central,40674,969155.159011,27706.3425,25811.262222222223,469.0,23.82738749596794,37.54776309143863,0.6811806682401533
True,DCFC,West South Central,56018,1331593.529849,40029.7025,35813.625555555554,426.0,23.770815270966477,37.18119875306615,0.7145864275768503
,,,186119,3541434.844458,1397669.0952777779,686589.1403027778,319.0,19.02779858293887,5.158011737407132,7.509545480460232
