vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
220,Personal,BEV (Battery Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),California,81,60.4320987654321,60.0,20.236068214703256,12.901234567901234,3.892592592592593,1,top-up chargers
221,Personal,BEV (Battery Electric Vehicle),PASSENGER CAR,California,399,82.81954887218045,85.0,13.886927398088867,12.330827067669173,2.7302827067669173,1,top-up chargers
224,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,80,77.8125,85.0,22.116546157211136,15.625,9.331199999999999,1,top-up chargers
225,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,93,40.16129032258065,35.0,16.376209097465967,36.18279569892473,21.41125806451613,0,deep chargers
226,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,9,74.44444444444444,85.0,29.309175658448293,8.88888888888889,1.2068,1,top-up chargers
227,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,8,35.0,30.0,34.64101615137755,10.625,1.275575,0,deep chargers
230,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,61,58.442622950819676,60.0,25.1087797328371,16.065573770491802,9.469770491803278,0,deep chargers
231,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,5,74.0,90.0,41.4427315702042,9.0,1.07436,0,deep chargers
233,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,32,11.875,0.0,27.37876502316254,7.96875,0.977134375,0,deep chargers
237,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,7,78.57142857142857,85.0,28.389300466062576,10.0,1.3195,1,top-up chargers
242,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,215,43.41860465116279,40.0,17.8666301993246,37.0,21.64865581395349,0,deep chargers
243,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,31,15.96774193548387,15.0,15.352489203096114,9.516129032258064,0.7249070967741935,0,deep chargers
245,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,8,95.0,95.0,0.0,5.0,0.674625,1,top-up chargers
246,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,10,56.5,90.0,44.3502474000365,8.0,1.23193,0,deep chargers
248,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,65,68.84615384615384,75.0,17.270124826950777,15.153846153846153,8.832415384615384,1,top-up chargers
251,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,9,51.111111111111114,85.0,43.78768218473217,9.444444444444445,1.3066666666666666,0,deep chargers
253,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,68,57.205882352941174,57.5,21.72388383923509,18.308823529411764,10.660985294117648,0,deep chargers
257,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,9,52.77777777777778,70.0,38.496031541503655,11.11111111111111,1.4848555555555556,0,deep chargers
258,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,127,73.11023622047244,80.0,16.737102756269252,14.133858267716535,8.076141732283466,1,top-up chargers
259,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,26,17.307692307692307,15.0,16.26227347149034,8.26923076923077,1.16655,0,deep chargers
265,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,346,75.46242774566474,75.0,14.980761726796603,19.26300578034682,11.79579190751445,1,top-up chargers
269,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,70,55.92857142857143,55.0,22.782730192649343,25.0,14.887585714285715,0,deep chargers
272,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,5,68.0,80.0,38.50324661635691,10.0,1.2485199999999999,0,deep chargers
274,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,5,72.0,85.0,34.74910070778811,11.0,1.54924,1,top-up chargers
275,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,76,72.17105263157895,77.5,19.03217497320068,19.736842105263158,11.535907894736843,1,top-up chargers
276,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,88,59.54545454545455,70.0,21.584322264252485,29.65909090909091,17.730170454545455,0,deep chargers
278,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,71,71.54929577464789,80.0,19.35738229970628,17.04225352112676,9.952140845070423,1,top-up chargers
279,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,60,23.25,10.0,25.174391750348207,8.333333333333334,1.1557816666666667,0,deep chargers
281,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,22,77.72727272727273,80.0,18.304779022564983,20.227272727272727,12.021818181818183,1,top-up chargers
282,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,22,61.81818181818182,65.0,18.742964047842094,18.181818181818183,10.683954545454545,1,top-up chargers
285,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,77,65.45454545454545,70.0,18.764149366155838,21.428571428571427,12.504,1,top-up chargers
286,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,7,50.714285714285715,55.0,39.30951659888601,12.142857142857142,1.6189,0,deep chargers
289,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,28,42.5,5.0,41.48850800277465,9.285714285714286,1.2767,0,deep chargers
290,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Colorado,15,62.666666666666664,85.0,37.12270515594517,10.666666666666666,1.4746666666666668,0,deep chargers
292,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,15,69.66666666666667,85.0,37.34332349328069,10.0,1.37816,0,deep chargers
