vehicle_id,date,trip_km,trips,charged_kwh,estimated_consumed_kwh,net_kwh
64,2021-03-04,117.46034,7.0,4.34,23.747641287142613,-19.407641287142614
64,2021-03-05,0.0,0.0,38.44,0.0,38.44
64,2021-03-08,219.70686899999998,14.0,38.440000000000005,44.41941776546222,-5.979417765462216
64,2021-03-09,180.85086,12.0,36.58,36.56367204242086,0.01632795757913641
64,2021-03-10,177.71975,11.0,47.120000000000005,35.930637291196874,11.18936270880313
64,2021-03-11,120.36237,10.0,37.82,24.33436160009698,13.48563839990302
64,2021-03-12,183.26628,8.0,41.54,37.052011576580135,4.487988423419864
64,2021-03-17,5.973789999999999,2.0,0.0,1.2077559288924216,-1.2077559288924216
64,2021-03-18,253.299494,16.0,0.0,51.21103447961016,-51.21103447961016
64,2021-03-19,64.22471,7.0,35.96,12.984683807749587,22.975316192250414
64,2021-03-23,220.8924,13.0,2.48,44.65910347489221,-42.179103474892216
64,2021-03-24,108.31094999999999,5.0,40.92,21.89785580451784,19.022144195482163
64,2021-03-25,103.84891999999999,9.0,25.419999999999998,20.99574120266611,4.424258797333888
64,2021-03-26,151.87159,12.0,42.160000000000004,30.70476418702683,11.455235812973175
64,2021-03-29,128.38632,7.0,41.54,25.95661032086493,15.58338967913507
64,2021-03-30,166.17721,11.0,38.44,33.59701473006266,4.842985269937337
64,2021-03-31,130.74039,8.0,38.44,26.43254636808583,12.007453631914167
64,2021-04-01,139.50746,9.0,40.92,28.205035988831607,12.714964011168394
64,2021-04-02,74.52637,7.0,22.32,15.067430429648565,7.252569570351435
64,2021-04-05,118.78615,6.0,0.0,24.01568801929839,-24.01568801929839
64,2021-04-06,176.73994,10.0,39.68,35.732543394911914,3.9474566050880853
64,2021-04-07,171.56151,10.0,0.0,34.68559003115886,-34.68559003115886
64,2021-04-08,94.53889799999999,8.0,24.8,19.113479812724567,5.686520187275434
64,2021-04-09,118.17154,8.0,3.72,23.891428734747613,-20.171428734747614
64,2021-04-13,0.341994,1.0,0.0,0.06914291951100304,-0.06914291951100304
64,2021-04-14,24.89313,3.0,16.74,5.032789124858725,11.707210875141273
64,2021-04-15,137.55707,10.0,38.44,27.810714279137677,10.62928572086232
64,2021-04-16,47.7697,1.0,11.78,9.657878565602793,2.122121434397206
64,2021-04-17,24.616799999999998,2.0,13.02,4.976921878800387,8.043078121199613
64,2021-04-18,0.0,0.0,1.24,0.0,1.24
64,2021-04-20,199.70396,10.0,45.26,40.3753131116586,4.884686888341399
64,2021-04-21,201.11969,10.0,11.16,40.661539494107735,-29.501539494107735
64,2021-04-22,94.91955,8.0,0.0,19.19043844532544,-19.19043844532544
64,2021-04-23,0.0,0.0,34.72,0.0,34.72
64,2021-04-28,114.84134,6.0,33.48,23.218142798282233,10.261857201717763
64,2021-04-30,181.56911,16.0,0.0,36.708884829600684,-36.708884829600684
64,2021-05-04,175.51434,12.0,42.16,35.484756702301276,6.675243297698721
64,2021-05-05,41.262,1.0,0.0,8.34217894133525,-8.34217894133525
64,2021-05-06,225.66288,16.0,3.72,45.62357921034035,-41.903579210340354
64,2021-05-07,31.6285,1.0,0.0,6.394518119480925,-6.394518119480925
64,2021-05-08,48.16384,2.0,5.58,9.73756414574767,-4.157564145747671
64,2021-05-10,15.0573,1.0,0.0,3.044222068086066,-3.044222068086066
64,2021-05-11,248.04431,16.0,46.5,50.148563312491696,-3.648563312491696
64,2021-05-12,234.22930000000002,17.0,3.72,47.35550225155583,-43.635502251555835
64,2021-05-13,248.75243,13.0,42.160000000000004,50.29172805855195,-8.13172805855195
64,2021-05-14,9.14705,2.0,9.92,1.8493123911914255,8.070687608808575
64,2021-05-19,163.99487,11.0,42.16,33.15579833747787,9.004201662522128
64,2021-05-20,110.62755,5.0,26.66,22.366216323530423,4.293783676469577
64,2021-05-23,121.41344,7.0,42.16,24.546862545758103,17.613137454241894
64,2021-05-24,210.237,12.0,39.059999999999995,42.50483917622749,-3.4448391762274966
64,2021-05-25,5.58592,2.0,0.0,1.1293379911779216,-1.1293379911779216
64,2021-06-01,78.05642,4.0,3.1,15.781121204983268,-12.681121204983269
64,2021-06-02,147.12796,8.0,3.72,29.745716872512602,-26.025716872512604
64,2021-06-04,0.0,0.0,38.44,0.0,38.44
64,2021-06-06,214.54241,14.0,3.72,43.37528900017723,-39.655289000177234
64,2021-06-07,125.43864,9.0,0.0,25.360660681443786,-25.360660681443786
64,2021-06-08,161.23587,12.0,43.4,32.59799523294721,10.802004767052786
64,2021-06-09,51.01226,3.0,33.48,10.313445812658584,23.16655418734141
64,2021-06-11,25.7444,1.0,0.0,5.20489534044184,-5.20489534044184
64,2021-06-14,26.6293,1.0,1.24,5.383800729060607,-4.143800729060607
64,2021-06-15,0.0,0.0,38.44,0.0,38.44
64,2021-06-16,141.076496,6.0,47.12,28.522257138494655,18.597742861505342
64,2021-06-17,0.0,0.0,1.24,0.0,1.24
64,2021-06-18,0.0,0.0,5.58,0.0,5.58
64,2021-06-20,227.10456,12.0,38.44,45.915052055479805,-7.475052055479807
64,2021-06-22,97.52597800000001,9.0,39.68,19.71739517969863,19.96260482030137
64,2021-06-23,116.14936,7.0,31.0,23.48259282248962,7.517407177510378
64,2021-06-25,13.7446,1.0,1.86,2.778825861011984,-0.9188258610119837
64,2021-06-27,259.047251,12.0,38.44,52.37309199997544,-13.933091999975446
64,2021-06-28,146.10233,10.0,3.72,29.53835927987042,-25.81835927987042
64,2021-07-01,26.77552,4.0,7.44,5.413362878369949,2.026637121630052
64,2021-07-03,33.2987,2.0,1.86,6.732192184427319,-4.872192184427319
64,2021-07-04,108.704,5.0,26.66,21.97732101301214,4.68267898698786
64,2021-07-07,70.24811,5.0,0.0,14.202469679380595,-14.202469679380595
64,2021-07-10,51.32043,5.0,0.0,10.375750337023648,-10.375750337023648
64,2021-07-12,28.5467,2.0,0.0,5.771452658247661,-5.771452658247661
64,2021-07-13,56.79765,3.0,24.8,11.483111815891862,13.316888184108139
64,2021-07-14,23.38219,2.0,0.0,4.727313581995532,-4.727313581995532
64,2021-07-15,121.97160000000001,5.0,20.46,24.659709004918973,-4.199709004918972
64,2021-07-20,55.73350000000001,3.0,25.42,11.267966410423833,14.152033589576169
64,2021-07-21,35.59104,3.0,0.0,7.195647917895897,-7.195647917895897
64,2021-07-22,36.42949,3.0,0.0,7.36516223938692,-7.36516223938692
64,2021-07-25,196.94101,15.0,46.5,39.81671141261439,6.683288587385611
64,2021-07-26,0.0,0.0,13.64,0.0,13.64
64,2021-07-27,200.80054,11.0,38.44,40.59701507917082,-2.157015079170826
64,2021-07-28,39.77221,3.0,15.5,8.04097941719653,7.45902058280347
64,2021-07-29,92.57085000000001,6.0,0.0,18.715588082291315,-18.715588082291315
64,2021-07-30,63.59394,4.0,39.06,12.857157361847158,26.202842638152845
64,2021-07-31,170.96646,12.0,2.48,34.565285305768874,-32.08528530576888
64,2021-08-01,146.61187,8.0,3.1,29.641375950360654,-26.541375950360653
64,2021-08-02,0.0,0.0,12.4,0.0,12.4
64,2021-08-03,32.6303,1.0,0.0,6.597057862184372,-6.597057862184372
64,2021-08-04,0.0,0.0,7.44,0.0,7.44
64,2021-08-05,178.17663,14.0,39.68,36.02300738267855,3.6569926173214498
64,2021-08-06,128.40379,8.0,1.86,25.960142332548923,-24.100142332548923
64,2021-08-08,184.32305,14.0,8.68,37.26566492445069,-28.58566492445069
64,2021-08-09,0.0,0.0,9.92,0.0,9.92
64,2021-08-10,2.18758,1.0,15.5,0.44227579391416233,15.057724206085839
64,2021-08-12,136.78603,11.0,39.059999999999995,27.654828630091895,11.4051713699081
64,2021-08-13,102.99865,10.0,32.86,20.82383716290921,12.036162837090789
64,2021-08-14,150.04484,11.0,0.0,30.33543949648628,-30.33543949648628
64,2021-08-15,199.77367,16.0,5.58,40.38940678850413,-34.809406788504134
64,2021-08-19,188.61873,12.0,4.34,38.134147577611344,-33.79414757761134
64,2021-08-20,168.0699,14.0,42.16,33.979670894583904,8.180329105416092
64,2021-08-21,160.40823,12.0,48.36,32.43066643213759,15.929333567862408
64,2021-08-22,63.85746,6.0,17.98,12.910434735571666,5.069565264428334
64,2021-08-24,102.21878000000001,5.0,44.64,20.66616630131794,23.97383369868206
64,2021-08-25,5.8072099999999995,2.0,0.0,1.1740774797613172,-1.1740774797613172
64,2021-08-26,122.75469000000001,9.0,38.44,24.81803087267066,13.621969127329336
64,2021-08-27,113.57625,7.0,4.34,22.962372182294306,-18.622372182294306
64,2021-08-28,141.3424,9.0,47.12,28.576016499388867,18.54398350061113
64,2021-08-29,181.48766,10.0,49.6,36.692417608555374,12.907582391444627
64,2021-08-30,42.5168,1.0,8.06,8.595869168071411,-0.5358691680714109
64,2021-08-31,36.6019,1.0,14.88,7.400019373584865,7.479980626415136
64,2021-09-02,195.28234,18.0,44.019999999999996,39.481368434944265,4.538631565055731
64,2021-09-03,142.24436,14.0,3.7199999999999998,28.758371007602882,-25.038371007602883
64,2021-09-04,210.51453,15.0,1.24,42.560949033277296,-41.320949033277294
64,2021-09-05,129.1239,16.0,3.72,26.105731166765512,-22.385731166765513
64,2021-09-06,27.9942,2.0,25.42,5.659750514263178,19.760249485736825
64,2021-09-07,70.715,3.0,14.26,14.296863550882707,-0.036863550882706875
64,2021-09-08,73.9829,6.0,21.08,14.957553933374816,6.122446066625182
64,2021-09-09,0.0,0.0,1.24,0.0,1.24
64,2021-09-10,8.003,1.0,9.3,1.6180131372087152,7.681986862791286
64,2021-09-12,41.10853,4.0,1.24,8.311151017285841,-7.071151017285841
64,2021-09-13,45.0229,1.0,7.44,9.102542006151975,-1.6625420061519742
64,2021-09-15,30.84857,2.0,0.0,6.236835127340079,-6.236835127340079
64,2021-09-18,143.36454,11.0,0.0,28.98484432461381,-28.98484432461381
64,2021-09-19,111.97957,11.0,6.2,22.63956208409133,-16.43956208409133
64,2021-09-21,33.6731,2.0,11.16,6.8078868137626865,4.352113186237314
64,2021-09-25,194.41433,17.0,45.26,39.305877796030295,5.954122203969703
64,2021-09-26,237.85407,13.0,6.82,48.088343121149734,-41.268343121149734
64,2021-09-28,35.1369,1.0,7.44,7.103831788178045,0.33616821182195533
64,2021-09-29,96.03102999999999,8.0,20.46,19.415152832648285,1.0448471673517155
64,2021-09-30,112.56343,11.0,5.58,22.757604461985956,-17.177604461985958
64,2021-10-01,242.57995,16.0,44.64,49.043801814748626,-4.4038018147486255
64,2021-10-02,200.85044,18.0,44.019999999999996,40.60710365289901,3.4128963471009826
64,2021-10-03,169.213333,15.0,46.5,34.210845406081845,12.289154593918155
64,2021-10-04,19.8048,1.0,3.1,4.004051803047752,-0.9040518030477522
64,2021-10-05,80.89074000000001,6.0,16.12,16.354152192744536,-0.23415219274453491
64,2021-10-07,176.30819,13.0,41.54,35.64525398194305,5.894746018056949
64,2021-10-08,141.0384,8.0,40.92,28.514555048219123,12.40544495178088
64,2021-10-09,164.3645,11.0,12.4,33.23052858812218,-20.830528588122185
64,2021-10-10,129.07258000000002,10.0,4.96,26.0953555033641,-21.1353555033641
64,2021-10-13,58.96264,3.0,13.02,11.9208204578918,1.0991795421081996
64,2021-10-14,41.774589999999996,3.0,0.0,8.445812248095441,-8.445812248095441
64,2021-10-15,122.21771,12.0,32.86,24.70946649750905,8.150533502490948
64,2021-10-16,124.80732,13.0,45.26,25.23302303883694,20.026976961163058
64,2021-10-17,128.458695,20.0,44.64,25.971242796287328,18.668757203712673
64,2021-10-18,55.63758,4.0,17.979999999999997,11.248573705173168,6.731426294826829
64,2021-10-19,212.30394,14.0,8.06,42.92272447846693,-34.86272447846693
64,2021-10-22,137.00313,14.0,42.78,27.698721001963442,15.08127899803656
64,2021-10-23,44.741479999999996,3.0,1.24,9.045645685138195,-7.805645685138195
64,2021-10-28,151.2381,12.0,31.0,30.576687822877094,0.4233121771229058
64,2021-10-29,150.18386,16.0,42.78,30.36354597984687,12.416454020153132
64,2021-10-30,170.47949,12.0,6.2,34.466831743676345,-28.266831743676345
64,2021-10-31,187.0935,10.0,42.16,37.82578294219152,4.334217057808473
64,2021-11-01,0.0,0.0,7.44,0.0,7.44
64,2021-11-02,2.12594,1.0,0.0,0.42981367598619213,-0.42981367598619213
64,2021-11-03,3.074984,2.0,0.0,0.6216874308017748,-0.6216874308017748
64,2021-11-04,108.7242,6.0,20.46,21.98140496470171,-1.5214049647017092
64,2021-11-05,81.55024999999999,7.0,22.32,16.487489171892417,5.8325108281075835
64,2021-11-06,72.40057,5.0,43.4,14.637645058278045,28.762354941721952
64,2021-11-07,110.49340000000001,5.0,31.62,22.339094436443517,9.280905563556484
64,2021-11-09,57.60443,5.0,0.0,11.646223228966615,-11.646223228966615
64,2021-11-10,91.1188,3.0,17.36,18.422018673833996,-1.0620186738339967
64,2021-11-12,174.079789,16.0,3.72,35.19472516862691,-31.47472516862691
64,2021-11-13,132.79089,12.0,44.019999999999996,26.84710789974227,17.172892100257727
64,2021-11-14,52.794160000000005,8.0,10.540000000000001,10.673702917393335,-0.13370291739333418
64,2021-11-15,71.7514,3.0,14.26,14.506398577173236,-0.24639857717323643
64,2021-11-18,60.820018000000005,7.0,35.96,12.296337389637703,23.663662610362298
64,2021-11-19,114.7464,12.0,42.78,23.198948225341258,19.581051774658743
