vehicle_id,ownership,vehicle_type,electrification_level,state,charge_start_dt,km_since_prior_charge,trips_since_prior_charge,avg_temp_c,charged_kwh,kwh_per_km_proxy,wh_per_km_proxy,temp_bin
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2020-12-04 12:50:00,108.762321,12,1.25,10.2,0.09378247821688174,93.78247821688174,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-01-04 11:40:00,51.4557,2,0.0,19.2,0.3731365038275643,373.1365038275643,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-03-24 10:00:00,5.887829999999999,2,10.0,3.0,0.5095255807317807,509.5255807317807,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-03-26 11:20:00,45.142799999999994,2,20.0,11.4,0.2525319652303358,252.53196523033577,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-03-29 09:30:00,2.99989,1,0.0,1.8,0.6000220008066962,600.0220008066962,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-08 09:10:00,134.18547,13,12.884615384615385,9.6,0.07154276837872237,71.54276837872237,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-09 14:00:00,69.19371,5,15.5,20.4,0.2948244862141371,294.8244862141371,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-12 10:10:00,18.2164,2,7.5,7.8,0.42818559100590675,428.18559100590676,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-12 16:00:00,39.1877,2,5.0,15.6,0.39808409271276446,398.08409271276446,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-15 12:00:00,53.18153,6,7.5,5.4,0.1015390117584056,101.5390117584056,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-23 09:40:00,49.8016,5,2.0,9.6,0.19276489108783654,192.76489108783653,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-23 13:20:00,16.31764,3,9.166666666666666,4.8,0.2941601849287029,294.1601849287029,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-27 10:00:00,15.63538,2,8.75,4.8,0.30699605637982574,306.99605637982575,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-28 14:50:00,54.446384,7,23.214285714285715,14.4,0.2644803739399847,264.4803739399847,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-04-30 14:50:00,65.45381,5,10.0,30.0,0.4583384832754579,458.33848327545786,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-03 16:30:00,11.07395,2,15.0,2.4,0.21672483621472013,216.72483621472014,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-05 21:00:00,39.42628,4,10.0,11.4,0.2891472388467794,289.1472388467794,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-07 15:20:00,121.75036000000001,9,10.0,24.6,0.2020527906447258,202.0527906447258,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-10 13:30:00,46.203900000000004,2,10.0,13.8,0.2986760857849662,298.6760857849662,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-13 21:20:00,56.80682,3,15.833333333333334,13.8,0.2429285779418739,242.92857794187387,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-20 19:20:00,42.1622,2,30.0,12.0,0.28461512919155074,284.61512919155075,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-21 09:40:00,41.2448,2,22.5,9.0,0.21820932578167432,218.2093257816743,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-21 12:50:00,27.9328,1,30.0,15.0,0.5370030931378165,537.0030931378164,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-24 13:40:00,54.66030000000001,2,21.25,13.2,0.24149153956344913,241.49153956344912,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-25 13:00:00,44.332679999999996,3,20.0,10.8,0.2436126126369983,243.61261263699828,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-26 10:00:00,5.46404,2,27.5,1.2,0.21961771875754935,219.61771875754937,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-05-28 14:10:00,55.48002699999999,8,10.625,15.0,0.27036756849451427,270.3675684945143,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-01 11:40:00,39.9998,2,17.5,10.8,0.2700013500067501,270.00135000675004,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-07 11:10:00,64.501379,5,26.5,16.2,0.25115742099095273,251.15742099095277,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-08 12:20:00,19.66931,3,25.0,4.8,0.2440349966521449,244.03499665214488,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-06-09 10:10:00,22.9541,2,25.0,6.0,0.26139121115617686,261.3912111561769,>20C
