charge_level,connector_type,power_kw,sessions,energy_kwh,charge_duration,median_actual_kw,median_energy
DCFC,CHAdeMO,30 kW - 100 kW,602978,9138663.543277001,368677.7241666667,24.787674828831594,15.155882210092244
DCFC,CHAdeMO,<30 kW,8263,97477.213998,5178.711388888889,18.822677434224442,11.796830932833112
DCFC,CHAdeMO,>100 kW,2642,36135.460100000004,1468.1680555555554,24.612618401049687,13.677312679788042
DCFC,CHAdeMO,Undesignated,625,7594.633,339.91027777777776,22.343051965510508,12.1514128
DCFC,Combo,30 kW - 100 kW,1610109,55660335.498563,1587685.0680555555,35.0575417118021,34.56929654983793
DCFC,Combo,<30 kW,208164,4721713.435577,276823.6025,17.05675886353296,22.68266095759593
DCFC,Combo,>100 kW,15540,961491.215321,26689.961666666666,36.024450965091305,61.872021577927924
DCFC,Combo,Undesignated,1289,40509.472,927.1369444444445,43.69308357599096,31.427053529868115
L2,J1772,<8 kW,7413045,106109515.63378194,21881065.124166667,4.849376162981604,14.313890666221766
L2,J1772,>8 kW,2636683,42922787.42906587,7601985.963611111,5.646259758243041,16.27908528596948
L2,J1772,Undesignated,19275,322792.185,244863.26416666666,1.318254847653631,16.74667626459144
,,,186119,3541434.844458,686589.1403027778,5.158011737407132,19.02779858293887
