evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,is_corridor,is_metro
26888,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,False,True
22520,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
22521,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
22509,Undesignated,Metro Area,New England,1,DCFC,Corridor,Paid,True,True
26557,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
26558,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
26559,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
26560,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
22421,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,False,True
26718,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,True,True
26612,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
26613,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
26614,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
26615,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
26616,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
26617,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
30157,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
30158,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,True,True
30051,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free,False,True
41010,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,False,True
41204,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,False,True
1758,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
1854,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
1855,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
1861,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
1868,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
1900,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
1748,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
1648,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
1762,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
1398,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
1524,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
1239,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
14093,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
14086,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
14046,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
14019,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
14025,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18892,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18895,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18901,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18871,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18879,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18882,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18883,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18888,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18908,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18911,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18916,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18925,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18926,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18927,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18928,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18929,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18931,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18932,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18923,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18935,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,False,True
18936,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
18940,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18938,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18946,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,False,True
18947,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18948,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,True,True
18952,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18953,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18954,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,False,True
18950,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,True,True
