charge_level,weekday,hour,sessions,energy_kwh
DCFC,Saturday,11,25114,635200.8087769999
DCFC,Saturday,12,26133,671006.8706039999
DCFC,Saturday,13,26450,669575.55852
DCFC,Saturday,14,26435,700569.806528
DCFC,Saturday,15,25313,612581.388398
DCFC,Saturday,16,24640,600309.805616
DCFC,Saturday,17,22242,537670.345744
DCFC,Saturday,18,19532,511228.033627
DCFC,Saturday,19,16441,449495.823881
DCFC,Saturday,20,14518,406896.32319
DCFC,Saturday,21,12707,468465.062647
DCFC,Saturday,22,9566,319051.812734
DCFC,Saturday,23,7094,250868.238836
DCFC,Sunday,0,5492,222280.068178
DCFC,Sunday,1,3841,142551.077425
DCFC,Sunday,2,3051,120782.746986
DCFC,Sunday,3,2764,98776.390934
DCFC,Sunday,4,2767,94600.942649
DCFC,Sunday,5,3287,106749.58083400001
DCFC,Sunday,6,5215,153483.603597
DCFC,Sunday,7,8058,223445.99793399998
DCFC,Sunday,8,11856,322682.659024
DCFC,Sunday,9,15737,414663.560136
DCFC,Sunday,10,20026,507774.784412
DCFC,Sunday,11,22308,555801.720932
DCFC,Sunday,12,24269,631986.379196
DCFC,Sunday,13,24498,618284.42163
DCFC,Sunday,14,24404,623645.0369599999
DCFC,Sunday,15,24027,572420.547132
DCFC,Sunday,16,23766,566478.531209
DCFC,Sunday,17,21119,501043.86239100003
DCFC,Sunday,18,18777,472844.301782
DCFC,Sunday,19,16614,439479.517986
DCFC,Sunday,20,14121,383614.955625
DCFC,Sunday,21,11728,453507.905009
DCFC,Sunday,22,8356,278836.058578
DCFC,Sunday,23,6127,213760.254448
L2,Monday,0,15402,300914.138913782
L2,Monday,1,6760,132376.857998469
L2,Monday,2,4481,84621.597430594
L2,Monday,3,4166,68047.20607903099
L2,Monday,4,6235,107414.021982406
L2,Monday,5,16793,265760.806540625
L2,Monday,6,43545,714701.983765
L2,Monday,7,91545,1474759.367805
L2,Monday,8,117118,1791656.412862
L2,Monday,9,81853,1149613.052979593
L2,Monday,10,64180,813937.703655
L2,Monday,11,69493,816517.5343915
L2,Monday,12,85586,978282.356218875
L2,Monday,13,78919,909418.401284345
L2,Monday,14,73239,876465.483572344
L2,Monday,15,81553,984404.1156230631
L2,Monday,16,90049,1191258.285395719
L2,Monday,17,104528,1516947.971598438
L2,Monday,18,93942,1506246.094160937
L2,Monday,19,86638,1465922.756553
L2,Monday,20,68073,1266246.359891
L2,Monday,21,68389,1337751.8654530619
L2,Monday,22,44366,902449.424577125
L2,Monday,23,57680,1099848.53863225
L2,Tuesday,0,13976,280959.210252
L2,Tuesday,1,6881,126890.67382846901
L2,Tuesday,2,4663,79880.625494312
L2,Tuesday,3,4330,66916.357210125
L2,Tuesday,4,6651,106298.046094469
L2,Tuesday,5,18665,277229.689455
L2,Tuesday,6,48619,721127.448145
L2,Tuesday,7,101283,1509864.349127
L2,Tuesday,8,128537,1844227.885714
L2,Tuesday,9,87038,1167106.426398
L2,Tuesday,10,66447,802462.082052
L2,Tuesday,11,72033,817883.51227375
L2,Tuesday,12,88974,984975.1647237181
L2,Tuesday,13,82383,927374.339506406
L2,Tuesday,14,75194,868414.631522125
L2,Tuesday,15,84773,1012952.037595156
L2,Tuesday,16,93742,1224129.849115
L2,Tuesday,17,111798,1613616.969829843
L2,Tuesday,18,101029,1615508.709339935
L2,Tuesday,19,93500,1583242.520838688
L2,Tuesday,20,74110,1395298.539141875
L2,Tuesday,21,73800,1453699.253315063
L2,Tuesday,22,48379,997540.222669968
L2,Tuesday,23,61051,1194055.669322062
L2,Wednesday,0,14870,303402.945088594
L2,Wednesday,1,7156,137547.472470031
L2,Wednesday,2,4827,86650.439606344
L2,Wednesday,3,4636,72275.930882437
L2,Wednesday,4,6758,110129.476253
L2,Wednesday,5,18630,273861.649636
L2,Wednesday,6,48032,714280.729607
L2,Wednesday,7,99938,1458573.362726
L2,Wednesday,8,127675,1805993.328736532
