venue,charge_level,pricing,sessions,energy_kwh,total_duration,total_charge_duration,total_overstay,evse_count,ports,energy_per_evse,sessions_per_evse_month,mean_energy,mean_duration,mean_charge_duration,mean_overstay,overstay_ratio
Undesignated,L2,Paid,21141,329970.083081,95681.86944444444,59370.708333333336,36311.16111111111,75.0,147.0,4399.601107746667,6.555348837209302,15.608064097299089,4.525891369587268,2.808320719612759,1.7175706499745098,0.3794988676741353
Business Office,L2,Undesignated,376409,5478303.729812874,1957725.0172222224,1118372.865277778,839366.6988888889,1374.0,2548.0,3987.1206184955417,6.3709590061270776,14.55412524624245,5.201057937568502,2.971163987252637,2.229932596959395,0.42874596355715466
Multi-Unit Dwelling,L2,Undesignated,102380,1934635.887661,965771.35,373962.6736111111,591809.9877777778,505.0,874.0,3830.9621537841585,4.714713331798296,18.896619336403596,9.433203262355928,3.652692651016909,5.780523420372903,0.6127847836631081
Hotel,L2,Undesignated,34886,654353.251321621,233929.38166666665,128256.1113888889,105677.30416666667,195.0,323.0,3355.657699085236,4.160524746571258,18.75690108701545,6.705537512660284,3.6764349993948544,3.0292181438590458,0.45174874320511643
Single Family Residential,L2,Free,3831453,54891616.422585,42876577.020555556,10165048.258611111,32711528.7775,16815.0,16830.0,3264.4434387502233,5.299051926228658,14.326579608985156,11.190683278786286,2.653053099858229,8.537630182988021,0.7629230468145275
Fleet,L2,Undesignated,103521,1214036.663565,2764433.754722222,332139.0027777778,2432302.2075,391.0,503.0,3104.953103746803,6.157199785879974,11.727443355116353,26.70408665606227,3.2084215065327593,23.495737169270004,0.8798554869854005
Fleet,L2,Free,173689,3247780.60908,3907690.758888889,759908.8513888889,3147781.9166666665,1060.0,1239.0,3063.9439708301884,3.810640631856077,18.698827266435984,22.498205176429646,4.37511213369234,18.123093095513628,0.8055350617257404
Fleet,L2,Paid,25831,344572.872268,507725.4241666667,194903.91833333333,312821.50583333336,123.0,205.0,2801.4054655934956,4.883910001890716,13.339509591885719,19.655662737279496,7.545349321874234,12.110313415405264,0.6161233827255539
Retail,L2,Free,242654,2323664.89484,1034776.2111111111,505981.46055555553,528794.7602777778,965.0,1315.0,2407.9428962072543,5.847788890227738,9.576041997411954,4.26441027599426,2.0851972790704276,2.179213036990026,0.5110233059087956
Single Family Residential,L2,Undesignated,27344,344231.809051,301516.52722222224,63666.344722222224,237851.27916666667,214.0,222.0,1608.5598553785046,2.97152792871115,12.588933917897894,11.026789322053183,2.3283478906605555,8.698481537692608,0.788849889450228
Undesignated,L2,Undesignated,3121,32413.870520127,32327.061944444446,8055.080555555556,24271.997222222224,23.0,35.0,1409.2987182663912,3.155712841253792,10.38573230378949,10.357917957207448,2.580929367368009,7.776993662999751,0.7508259570243276
,,,186119,3541434.844458,1397669.0952777779,686589.1403027778,711084.9096972222,,,,,19.02779858293887,7.509545480460232,3.688979310563552,3.820592791156315,0.5087648514943364
