id,vehicle_type,electrification_level,ownership,state
422,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
423,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
424,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
425,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
426,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
427,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
428,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
429,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
430,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
431,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
432,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
433,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
434,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
435,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
436,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
437,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
438,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
439,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
440,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
441,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
442,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
443,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
444,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
445,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
446,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
447,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
448,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
449,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
450,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
451,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
452,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
453,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
455,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
456,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
457,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
458,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
459,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
460,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
461,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
462,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
463,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
464,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
465,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
466,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
467,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
468,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
469,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
470,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
471,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
472,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
473,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
474,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
475,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
476,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
477,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
478,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
479,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
480,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
481,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
482,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
483,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
484,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
485,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
486,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
487,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
488,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
489,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
490,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
491,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
492,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
493,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
494,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
495,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
496,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
497,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
498,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
499,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
500,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
501,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
502,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
503,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
504,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
505,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
506,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
507,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
508,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
509,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
510,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
511,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
512,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
513,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
514,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Massachusetts
515,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
516,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
517,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
518,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
519,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
520,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
521,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
522,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
523,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
524,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
525,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
526,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
527,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
528,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
529,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
530,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
531,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
532,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
533,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
534,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
535,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
536,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
537,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
538,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
539,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
540,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
541,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
542,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
543,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
544,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
545,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
546,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
547,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
548,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
549,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
550,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
551,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
552,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
553,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
554,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
555,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
556,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
557,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
558,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
559,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
560,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
561,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
562,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
563,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
564,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
565,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
566,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
567,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
568,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
569,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
570,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
571,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
572,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
573,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
574,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
575,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
576,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
577,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
578,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
579,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
580,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
581,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
582,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
583,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
584,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
585,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
586,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
587,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
588,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
589,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
590,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
591,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
592,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
593,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
594,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
595,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
596,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
597,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
598,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
599,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
600,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
601,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
602,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
603,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
604,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
605,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
606,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
607,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
608,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
609,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
610,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
611,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
612,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
613,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
614,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
615,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
616,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
617,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
618,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
619,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
620,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
621,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
622,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
623,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
624,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
625,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
626,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
627,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
628,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
629,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
630,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
631,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
632,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
633,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
634,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
635,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
636,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
637,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
638,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
639,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
640,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
641,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
642,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
643,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
644,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
645,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
646,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,New York
647,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
648,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
649,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
650,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Georgia
651,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
652,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
653,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
654,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Georgia
655,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
656,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,New York
657,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
658,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,New York
659,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
660,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
661,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,Other
662,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
663,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
664,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
665,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,Other
666,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
667,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
668,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
669,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
670,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,New York
671,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,New York
672,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
673,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
674,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
675,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
676,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
677,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
678,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
679,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
680,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,Other
681,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
682,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
683,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
684,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
685,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
686,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
687,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
688,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
689,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
690,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
691,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
692,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
693,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
694,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
695,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
696,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
697,BUS,BEV (Battery Electric Vehicle),Fleet,California
698,BUS,BEV (Battery Electric Vehicle),Fleet,California
699,BUS,BEV (Battery Electric Vehicle),Fleet,California
700,BUS,BEV (Battery Electric Vehicle),Fleet,California
701,BUS,BEV (Battery Electric Vehicle),Fleet,California
702,BUS,BEV (Battery Electric Vehicle),Fleet,California
703,BUS,BEV (Battery Electric Vehicle),Fleet,California
704,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
705,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
706,BUS,BEV (Battery Electric Vehicle),Fleet,California
707,BUS,BEV (Battery Electric Vehicle),Fleet,California
708,BUS,BEV (Battery Electric Vehicle),Fleet,California
709,BUS,BEV (Battery Electric Vehicle),Fleet,California
710,BUS,BEV (Battery Electric Vehicle),Fleet,California
711,BUS,BEV (Battery Electric Vehicle),Fleet,California
712,BUS,BEV (Battery Electric Vehicle),Fleet,California
713,BUS,BEV (Battery Electric Vehicle),Fleet,California
714,BUS,BEV (Battery Electric Vehicle),Fleet,California
715,BUS,BEV (Battery Electric Vehicle),Fleet,California
716,BUS,BEV (Battery Electric Vehicle),Fleet,California
717,BUS,BEV (Battery Electric Vehicle),Fleet,California
718,BUS,BEV (Battery Electric Vehicle),Fleet,California
719,BUS,BEV (Battery Electric Vehicle),Fleet,California
720,BUS,BEV (Battery Electric Vehicle),Fleet,California
721,BUS,BEV (Battery Electric Vehicle),Fleet,California
722,BUS,BEV (Battery Electric Vehicle),Fleet,California
723,BUS,BEV (Battery Electric Vehicle),Fleet,California
724,BUS,BEV (Battery Electric Vehicle),Fleet,California
725,BUS,BEV (Battery Electric Vehicle),Fleet,California
726,BUS,BEV (Battery Electric Vehicle),Fleet,California
727,BUS,BEV (Battery Electric Vehicle),Fleet,California
728,BUS,BEV (Battery Electric Vehicle),Fleet,California
729,BUS,BEV (Battery Electric Vehicle),Fleet,California
730,BUS,BEV (Battery Electric Vehicle),Fleet,California
731,BUS,BEV (Battery Electric Vehicle),Fleet,California
732,BUS,BEV (Battery Electric Vehicle),Fleet,California
733,BUS,BEV (Battery Electric Vehicle),Fleet,California
734,BUS,BEV (Battery Electric Vehicle),Fleet,California
735,BUS,BEV (Battery Electric Vehicle),Fleet,California
736,BUS,BEV (Battery Electric Vehicle),Fleet,California
737,BUS,BEV (Battery Electric Vehicle),Fleet,California
738,BUS,BEV (Battery Electric Vehicle),Fleet,California
739,BUS,BEV (Battery Electric Vehicle),Fleet,California
740,BUS,BEV (Battery Electric Vehicle),Fleet,California
741,BUS,BEV (Battery Electric Vehicle),Fleet,California
742,BUS,BEV (Battery Electric Vehicle),Fleet,California
743,BUS,BEV (Battery Electric Vehicle),Fleet,California
744,BUS,BEV (Battery Electric Vehicle),Fleet,California
745,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
746,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
747,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
748,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
749,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
750,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
751,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
752,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
753,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
754,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
755,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,New York
760,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
763,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
764,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
765,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
766,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
767,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
768,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
770,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,California
771,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
772,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
773,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
774,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
775,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
