id,vehicle_type,electrification_level,ownership,state
171,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
172,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
173,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
174,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
175,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
176,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
177,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
178,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
179,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
180,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
181,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
182,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
183,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
184,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
185,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
186,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
187,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
188,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
189,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
190,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
191,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
192,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
193,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
194,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
195,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
196,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
197,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
198,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
199,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
200,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
201,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
202,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
203,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
204,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
205,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
206,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
207,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
208,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
209,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
210,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
211,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
212,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
213,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
214,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
215,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
216,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
217,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
218,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
219,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
220,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
221,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,California
222,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,California
223,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
224,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
225,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
226,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
227,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
228,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
229,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
230,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
231,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
232,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
233,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
234,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
235,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
236,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
237,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
238,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
239,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
240,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
241,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
242,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
243,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
244,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
245,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
246,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
247,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
248,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
249,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
250,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
251,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
252,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
253,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
254,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
255,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
256,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
257,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
258,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
259,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
260,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
261,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
262,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
263,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
264,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
265,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
266,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
267,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
268,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
269,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
270,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
271,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
272,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
273,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
274,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
275,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
276,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
277,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
278,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
279,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
280,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
281,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
282,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
283,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
284,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
285,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
286,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
287,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
288,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
289,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
290,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
291,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
292,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
293,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
294,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
295,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
296,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
297,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
298,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
299,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
300,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
301,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
302,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
303,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
304,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
305,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
306,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
307,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
308,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
309,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
310,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
311,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
312,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
313,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
314,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
315,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
316,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
317,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
318,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
319,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
320,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
321,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
322,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
323,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
324,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
325,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
326,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
327,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
328,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
329,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
330,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
331,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
332,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
334,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
335,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
339,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
340,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
341,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
342,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
343,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
344,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
345,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
346,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
347,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
348,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Ohio
349,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
350,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
351,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
352,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
353,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
354,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
355,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
356,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
357,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
358,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
359,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
360,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
361,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
362,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
363,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
364,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
365,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
366,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
367,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
