id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622660,848,2022-08-01 11:10:00,2022-08-01 11:30:00,0.3580555555555555,17.0,,,3.0,512
622661,1030,2022-08-01 11:20:00,2022-08-02 00:30:00,13.112777777777778,23.56,60.0,100.0,1.0,512
622662,948,2022-08-01 09:30:00,2022-08-01 09:40:00,0.0963888888888888,1.01223,10.0,15.0,1.0,512
622663,683,2022-08-01 08:40:00,2022-08-01 08:40:00,0.025,0.4592,,,1.0,576
622664,995,2022-08-01 11:40:00,2022-08-01 11:40:00,0.0111111111111111,0.147,,,1.0,576
622665,683,2022-08-01 08:50:00,2022-08-01 08:50:00,0.0177777777777777,0.5901,,,1.0,576
622666,163,2022-08-01 09:00:00,2022-08-01 13:40:00,4.749444444444444,16.0,55.0,100.0,1.0,512
622667,21,2022-08-01 12:00:00,2022-08-01 14:10:00,2.124722222222222,7.44,90.0,100.0,1.0,512
622668,145,2022-08-01 10:10:00,2022-08-02 06:20:00,20.20055555555556,29.14,55.0,100.0,1.0,0
622669,261,2022-08-01 10:10:00,2022-08-01 10:20:00,0.0836111111111111,0.6006,10.0,15.0,3.0,512
622670,984,2022-08-01 12:30:00,2022-08-01 12:40:00,0.1608333333333333,2.62,,,1.0,512
622671,674,2022-08-01 12:40:00,2022-08-01 16:50:00,4.114722222222222,10.0,55.0,75.0,3.0,512
622672,679,2022-08-01 11:50:00,2022-08-01 12:20:00,0.4444444444444444,1.8669,85.0,100.0,8.0,512
622673,1037,2022-08-01 13:00:00,2022-08-02 01:20:00,12.348055555555556,21.7,65.0,100.0,1.0,512
622674,31,2022-08-01 13:10:00,2022-08-01 13:30:00,0.3552777777777778,1.3174,0.0,10.0,6.0,512
622675,1023,2022-08-01 13:10:00,2022-08-01 13:40:00,0.4261111111111111,36.0,15.0,80.0,3.0,512
622676,72,2022-08-01 11:30:00,2022-08-01 11:30:00,0.0369444444444444,0.62,90.0,90.0,1.0,576
622677,688,2022-08-01 12:30:00,2022-08-01 13:30:00,1.0494444444444444,1.2969,,,1.0,512
622678,683,2022-08-01 10:40:00,2022-08-01 10:40:00,0.0125,0.3031,,,1.0,576
622679,826,2022-08-01 10:40:00,2022-08-01 10:50:00,0.0141666666666666,0.1645,,,1.0,576
622680,695,2022-08-01 12:50:00,2022-08-01 22:40:00,9.815277777777778,43.56,,,1.0,512
622681,1031,2022-08-01 13:50:00,2022-08-01 14:20:00,0.3941666666666666,1.24,0.0,5.0,1.0,0
622682,826,2022-08-01 11:00:00,2022-08-01 11:00:00,0.01,0.1652,,,1.0,576
622683,553,2022-08-01 12:00:00,2022-08-01 16:40:00,4.7813888888888885,5.0115,,,7.0,512
622684,668,2022-08-01 11:00:00,2022-08-01 11:20:00,0.3822222222222222,0.85,,,1.0,0
622685,250,2022-08-01 12:00:00,2022-08-01 12:10:00,0.1011111111111111,1.1879,5.0,10.0,7.0,512
622686,683,2022-08-01 11:00:00,2022-08-01 11:50:00,0.8388888888888889,2.14,,,1.0,0
622687,647,2022-08-01 14:10:00,2022-08-01 16:30:00,2.225555555555556,9.3325,65.0,80.0,3.0,512
622688,1029,2022-08-01 14:30:00,2022-08-02 00:00:00,9.525277777777776,16.12,75.0,100.0,1.0,512
622689,668,2022-08-01 11:30:00,2022-08-02 16:00:00,24.0,10.32,55.0,75.0,1.0,512
622690,546,2022-08-01 14:40:00,2022-08-01 17:30:00,2.783888888888889,6.4,85.0,100.0,1.0,512
622691,107,2022-08-01 12:40:00,2022-08-01 12:50:00,0.2152777777777778,1.413,100.0,100.0,2.0,512
622692,158,2022-08-01 12:50:00,2022-08-01 13:00:00,0.0719444444444444,0.62,,,1.0,512
622693,1068,2022-08-01 14:50:00,2022-08-01 16:40:00,1.771111111111111,1.96,35.0,50.0,2.0,512
622694,72,2022-08-01 13:00:00,2022-08-01 13:40:00,0.6647222222222222,4.96,70.0,80.0,1.0,512
622695,74,2022-08-01 15:00:00,2022-08-01 17:30:00,2.585833333333333,7.44,90.0,100.0,1.0,512
622696,316,2022-08-01 13:00:00,2022-08-01 14:40:00,1.683888888888889,7.767,85.0,100.0,1.0,512
622697,24,2022-08-01 15:00:00,2022-08-01 15:20:00,0.2530555555555555,4.8,90.0,100.0,1.0,512
622698,82,2022-08-01 13:00:00,2022-08-01 14:30:00,1.4694444444444446,7.7,80.0,95.0,1.0,512
622699,580,2022-08-01 12:00:00,2022-08-01 12:20:00,0.2452777777777778,3.999,75.0,80.0,1.0,512
622700,1023,2022-08-01 15:10:00,2022-08-01 16:00:00,0.8730555555555556,0.693,,,7.0,512
622701,62,2022-08-01 13:10:00,2022-08-01 17:10:00,3.9722222222222223,16.12,75.0,100.0,1.0,512
622702,108,2022-08-01 13:10:00,2022-08-01 14:10:00,0.9188888888888888,20.1128,,,2.0,512
622703,158,2022-08-01 13:20:00,2022-08-01 14:20:00,0.9805555555555556,3.72,75.0,85.0,1.0,512
622704,602,2022-08-01 12:20:00,2022-08-01 14:00:00,1.5983333333333334,4.6,,,1.0,0
622705,88,2022-08-01 15:30:00,2022-08-01 16:40:00,1.2497222222222222,7.2468,75.0,90.0,1.0,0
622706,995,2022-08-01 15:30:00,2022-08-02 13:50:00,22.433055555555555,36.0,,,1.0,544
622707,987,2022-08-01 15:30:00,2022-08-02 07:40:00,16.095,2.0475,,,1.0,768
622708,664,2022-08-01 12:30:00,2022-08-01 13:50:00,1.2747222222222223,1.96,,,5.0,512
622709,1060,2022-08-01 15:40:00,2022-08-01 15:40:00,0.0047222222222222,0.6,,,2.0,576
622710,649,2022-08-01 15:50:00,2022-08-01 17:30:00,1.8163888888888888,1.96,,,2.0,512
622711,1067,2022-08-01 15:50:00,2022-08-01 15:50:00,0.0013888888888888,0.6,,,2.0,576
