connector_id,evse_id,connector_number,connector_type,power_kw
41341,30654,1,J1772,<8 kW
41375,30688,2,J1772,<8 kW
41376,30689,2,J1772,<8 kW
41361,30674,2,J1772,<8 kW
41364,30677,2,J1772,<8 kW
41407,30720,2,J1772,<8 kW
41530,30723,1,J1772,<8 kW
41411,30724,2,J1772,<8 kW
41412,30725,2,J1772,<8 kW
41430,30743,2,J1772,<8 kW
41423,30736,2,J1772,<8 kW
41435,30748,2,J1772,<8 kW
36973,27124,1,J1772,<8 kW
36901,27118,1,J1772,<8 kW
36902,27119,1,J1772,<8 kW
36903,27120,1,J1772,<8 kW
36907,27124,2,J1772,<8 kW
36915,27132,2,J1772,<8 kW
36916,27133,2,J1772,<8 kW
36935,27152,2,J1772,<8 kW
36943,27159,2,J1772,<8 kW
36944,27160,2,J1772,<8 kW
32734,22925,1,J1772,<8 kW
32736,22928,1,J1772,<8 kW
32737,22929,1,J1772,<8 kW
32572,22930,2,J1772,<8 kW
45811,34260,1,J1772,<8 kW
46111,33933,1,Combo,<30 kW
45832,34281,2,J1772,<8 kW
45846,34295,1,J1772,<8 kW
46020,34298,1,J1772,<8 kW
46021,34299,1,J1772,<8 kW
46022,34300,1,J1772,<8 kW
45852,34301,2,J1772,<8 kW
45853,34302,2,J1772,<8 kW
46025,34303,1,J1772,<8 kW
45855,34304,2,J1772,<8 kW
45856,34305,2,J1772,<8 kW
45862,34311,2,J1772,<8 kW
46055,34334,1,J1772,<8 kW
36980,27132,1,J1772,<8 kW
36981,27133,1,J1772,<8 kW
36995,27152,1,J1772,<8 kW
37002,27159,1,J1772,<8 kW
37003,27160,1,J1772,<8 kW
15859,11348,2,J1772,<8 kW
15860,11349,2,J1772,<8 kW
16698,11350,1,J1772,<8 kW
16699,11351,1,J1772,<8 kW
16700,11352,1,J1772,<8 kW
15864,11353,2,J1772,<8 kW
16702,11354,1,J1772,<8 kW
16703,11355,1,J1772,<8 kW
16704,11356,1,J1772,<8 kW
16705,11357,1,J1772,<8 kW
16706,11358,1,J1772,<8 kW
16707,11359,1,J1772,<8 kW
15871,11360,2,J1772,<8 kW
15872,11361,2,J1772,<8 kW
16710,11362,1,J1772,<8 kW
15874,11363,2,J1772,<8 kW
15875,11364,2,J1772,<8 kW
15847,11335,2,J1772,<8 kW
15848,11336,2,J1772,<8 kW
16688,11337,1,J1772,<8 kW
16689,11338,1,J1772,<8 kW
16690,11339,1,J1772,<8 kW
19147,13754,2,J1772,<8 kW
19185,13760,2,J1772,<8 kW
19266,13766,2,J1772,<8 kW
19282,13768,2,J1772,<8 kW
19474,13773,2,J1772,<8 kW
19475,13774,2,J1772,<8 kW
21174,13780,1,J1772,<8 kW
19573,13781,2,J1772,<8 kW
19574,13782,2,J1772,<8 kW
19737,13786,2,J1772,<8 kW
20977,13771,1,J1772,<8 kW
19925,13816,1,J1772,<8 kW
19926,13817,1,J1772,<8 kW
19928,13818,1,J1772,<8 kW
19929,13819,1,J1772,<8 kW
21542,13827,1,J1772,<8 kW
19954,13828,2,J1772,<8 kW
19955,13829,2,J1772,<8 kW
21545,13830,1,J1772,<8 kW
21557,13831,1,J1772,<8 kW
21587,13832,1,J1772,<8 kW
20002,13833,2,J1772,<8 kW
20082,13842,2,J1772,<8 kW
21665,13843,1,J1772,<8 kW
20085,13844,2,J1772,<8 kW
20097,13845,2,J1772,<8 kW
20098,13846,2,J1772,<8 kW
21680,13847,1,J1772,<8 kW
20024,13835,2,J1772,<8 kW
21713,13858,1,J1772,<8 kW
21714,13859,1,J1772,<8 kW
21769,13914,1,J1772,>8 kW
21770,13915,1,J1772,>8 kW
21759,13904,1,J1772,<8 kW
21760,13905,1,J1772,<8 kW
21823,13968,1,J1772,>8 kW
21824,13969,1,J1772,>8 kW
21825,13970,1,J1772,>8 kW
21828,13973,1,J1772,<8 kW
21829,13974,1,J1772,<8 kW
16713,11365,1,J1772,<8 kW
16714,11366,1,J1772,<8 kW
15878,11367,2,J1772,<8 kW
16716,11368,1,J1772,<8 kW
16745,11405,1,J1772,<8 kW
16746,11406,1,J1772,<8 kW
16762,11430,1,J1772,<8 kW
16763,11431,1,J1772,<8 kW
15931,11436,2,J1772,<8 kW
19606,11445,2,J1772,<8 kW
15942,11447,2,J1772,<8 kW
15944,11449,2,J1772,<8 kW
16783,11454,1,J1772,<8 kW
15950,11455,2,J1772,<8 kW
16786,11457,1,J1772,<8 kW
15963,11468,1,J1772,<8 kW
15990,11496,2,J1772,<8 kW
15991,11497,2,J1772,<8 kW
15992,11498,2,J1772,<8 kW
16826,11499,1,J1772,<8 kW
16836,11512,1,J1772,<8 kW
16004,11513,2,J1772,<8 kW
16005,11514,2,J1772,<8 kW
16006,11515,2,J1772,<8 kW
16009,11518,2,J1772,<8 kW
16843,11519,1,J1772,<8 kW
16011,11520,2,J1772,<8 kW
16012,11521,2,J1772,<8 kW
16846,11522,1,J1772,<8 kW
16847,11523,1,J1772,<8 kW
16848,11524,1,J1772,<8 kW
16849,11525,1,J1772,<8 kW
16850,11526,1,J1772,<8 kW
16851,11527,1,J1772,<8 kW
16019,11528,2,J1772,<8 kW
16853,11529,1,J1772,<8 kW
16854,11530,1,J1772,<8 kW
16022,11531,2,J1772,<8 kW
16856,11532,1,J1772,<8 kW
16857,11533,1,J1772,<8 kW
16858,11534,1,J1772,<8 kW
16859,11535,1,J1772,<8 kW
16860,11536,1,J1772,<8 kW
16028,11537,2,J1772,<8 kW
16029,11538,2,J1772,<8 kW
16863,11539,1,J1772,<8 kW
16039,11562,2,J1772,<8 kW
16067,11597,2,J1772,<8 kW
16901,11598,1,J1772,<8 kW
16902,11599,1,J1772,<8 kW
16903,11600,1,J1772,<8 kW
16904,11601,1,J1772,<8 kW
16905,11602,1,J1772,<8 kW
16906,11603,1,J1772,<8 kW
16907,11605,1,J1772,<8 kW
16908,11606,1,J1772,<8 kW
16909,11607,1,J1772,<8 kW
16910,11608,1,J1772,<8 kW
16078,11609,2,J1772,<8 kW
16912,11610,1,J1772,<8 kW
16913,11611,1,J1772,<8 kW
16098,11631,2,J1772,<8 kW
16932,11635,1,J1772,<8 kW
16100,11636,2,J1772,<8 kW
16934,11637,1,J1772,<8 kW
16935,11638,1,J1772,<8 kW
16103,11639,2,J1772,<8 kW
16937,11641,1,J1772,<8 kW
16938,11643,1,J1772,<8 kW
16939,11644,1,J1772,<8 kW
16940,11645,1,J1772,<8 kW
16941,11646,1,J1772,<8 kW
16091,11623,2,J1772,<8 kW
16092,11624,2,J1772,<8 kW
16927,11626,1,J1772,<8 kW
16928,11627,1,J1772,<8 kW
16122,11660,2,J1772,<8 kW
16956,11661,1,J1772,<8 kW
16957,11662,1,J1772,<8 kW
16958,11663,1,J1772,<8 kW
16959,11664,1,J1772,<8 kW
16969,11674,1,J1772,<8 kW
16137,11675,2,J1772,<8 kW
16971,11676,1,J1772,<8 kW
16972,11677,1,J1772,<8 kW
16962,11667,1,J1772,<8 kW
16963,11668,1,J1772,<8 kW
16162,11702,2,J1772,<8 kW
17000,11710,1,J1772,<8 kW
16240,11846,2,J1772,<8 kW
16241,11847,2,J1772,<8 kW
16242,11848,2,J1772,<8 kW
16243,11849,2,J1772,<8 kW
16244,11850,2,J1772,<8 kW
17077,11851,1,J1772,<8 kW
17078,11852,1,J1772,<8 kW
17079,11853,1,J1772,<8 kW
17080,11854,1,J1772,<8 kW
17081,11856,1,J1772,<8 kW
17082,11858,1,J1772,<8 kW
17083,11859,1,J1772,<8 kW
17084,11860,1,J1772,<8 kW
17085,11861,1,J1772,<8 kW
16254,11862,2,J1772,<8 kW
16255,11863,2,J1772,<8 kW
17088,11865,1,J1772,<8 kW
17089,11866,1,J1772,<8 kW
17090,11867,1,J1772,<8 kW
17091,11868,1,J1772,<8 kW
17092,11869,1,J1772,<8 kW
17093,11870,1,J1772,<8 kW
16262,11871,2,J1772,<8 kW
17095,11872,1,J1772,<8 kW
17096,11873,1,J1772,<8 kW
17097,11874,1,J1772,<8 kW
17098,11875,1,J1772,<8 kW
17099,11876,1,J1772,<8 kW
17100,11877,1,J1772,<8 kW
